Symbol,Name,Sector,Validtill
RELINFRA,Reliance Infrastructure Ltd.,Energy,2023-01-17 13:53:52
OIL,Oil India Ltd.,Energy,2023-01-17 13:53:52
APOLLOTYRE,Apollo Tyres Ltd.,Automobile,2023-01-17 13:53:52
GODREJCP,Godrej Consumer Products Ltd.,Consumer Goods,2023-01-17 13:53:52
IFCI,IFCI Ltd.,Financial Services,2023-01-17 13:53:52
AMBUJACEM,Ambuja Cements Ltd.,Cement & Cement Products,2023-01-17 13:53:52
TATACOMM,TATA COMMUNICATIONS,Telecom,2023-01-17 13:53:52
DRREDDY,Dr. Reddy's Laboratories Ltd.,Pharma,2023-01-17 13:53:52
DABUR,Dabur India Ltd.,Consumer Goods,2023-01-17 13:53:52
RPOWER,Reliance Power Ltd.,Energy,2023-01-17 13:53:52
COALINDIA,Coal India Ltd.,Metals,2023-01-17 13:53:52
OBEROIRLTY,Oberoi Realty Limited,,2023-01-17 13:53:52
ZEEL,Zee Entertainment Enterprises Ltd.,Media & Entertainment,2023-01-17 13:53:52
NBCC,NBCC (India) Ltd.,Construction,2023-01-17 13:53:52
KSCL,Kaveri Seed Company Ltd.,Consumer Goods,2023-01-17 13:53:52
HAVELLS,Havells India Ltd.,Consumer Goods,2023-01-17 13:53:52
GRASIM,Grasim Industries Ltd.,Cement & Cement Products,2023-01-17 13:53:52
HEXAWARE,Hexaware Technologies Ltd.,Information Technology,2023-01-17 13:53:52
LICHSGFIN,LIC Housing Finance Ltd.,Financial Services,2023-01-17 13:53:52
BRITANNIA,Britannia Industries Ltd.,Consumer Goods,2023-01-17 13:53:52
